,index,patient5,patient6,patient7
0,SGIP1,0.2757047895511143,0.8982204954530669,0.1523383351663753
1,AZIN2,0.3346603768511026,0.5730716748395278,0.7293672377200134
2,CLIC4,0.6623193506961511,0.7712794739407277,0.4381567563875568
3,AGBL4,0.18429927533760992,0.8508178283275665,0.5260084907227679
4,NECAP2,0.8026437692928596,0.10572386257420185,0.9921006392013262
5,SLC45A1,0.2172968513774537,0.8557074782884484,0.8628077986895915
6,TGFBR3,0.46248097799190335,0.04362115129235733,0.3154756161668455
7,DBT,0.057754099141682724,0.2916888036717402,0.7753616599463623
8,RFWD2,0.9929286806949212,0.7688960015204125,0.6149743890874213
9,C1orf21,0.19016194725647995,0.5546418599528957,0.44276324004635925
10,PRUNE,0.3386312349349323,0.2001579635824735,0.39262481602809907
11,LIN9,0.9918551495622815,0.8201639574379718,0.1677986630210737
12,PRKCZ,0.7396060265349785,0.24117066397376852,0.3414084757882021
13,PRDM16,0.17186171730812905,0.6449794540178685,0.41991313488077
14,C1orf159,0.9104953113179091,0.9104461765680348,0.8198816121554097
15,CAMTA1,0.28454699556324414,0.6011892032382402,0.07916543664605113
16,ICMT,0.2370194730456433,0.5771380670453674,0.15394030248573765
17,LOC391003,0.4795418608243798,0.6370256352612654,0.5316880170948316
18,PRAMEF10,0.5193873458965175,0.9094805765777135,0.9824218628151686
19,LOC645382,0.3982188718351103,0.1971578728134722,0.6741642347865928
20,EPHB2,0.5019363531434525,0.8779700303466733,0.5561084186719767
21,PINK1,0.2612588858581604,0.9965375700521345,0.2517715679133826
22,USP48,0.9464213377801611,0.9518364486391863,0.17382774090005237
23,PINK1-AS,0.7155520733483488,0.031617950964606956,0.09358840933752166
24,EPB41,0.6088181044147559,0.8730779750576305,0.48104045373472404
25,KHDRBS1,0.8914236986581584,0.6816214902393862,0.3377727606783363
26,EYA3,0.9715113637315846,0.7591136488733344,0.7081779466853307
27,NUDC,0.0856149200804267,0.15968240417919333,0.181999517758073
28,PUM1,0.9281752105877612,0.7715573583748712,0.4396584262711346
29,STMN1,0.5754811484288911,0.05874843518632433,0.14796566701121838
30,THRAP3,0.006710617219698678,0.3883751693294226,0.16903779067504032
31,SFPQ,0.9034567112266237,0.7340842057734276,0.3824794677383019
32,CSMD2,0.7932391500734544,0.7628972840755907,0.12296881640443236
33,MACF1,0.8006924147588264,0.40742046513626473,0.6994393195135448
34,TRABD2B,0.06307628620752848,0.4377103785991058,0.14460479249858604
35,PTPRF,0.9742849773533214,0.3407952482983846,0.5705650949677864
36,GPBP1L1,0.5647133093446824,0.47738195588356835,0.3418343344041441
37,RNF220,0.15378603866457985,0.4473326976597234,0.44547821502382945
38,TCEANC2,0.43507540965735736,0.8637621036076008,0.355465600459538
39,SCP2,0.801806398419228,0.7518927163008085,0.9083842539112204
40,DAB1,0.7798196032465767,0.29284905785865756,0.2582346860512954
41,RAB3B,0.29489868391438767,0.624996530630828,0.9006787897469356
42,USP24,0.9678999281428133,0.5117899342045247,0.6058724272958522
43,FAF1,0.5440357308384206,0.5105158265104907,0.7371397072919843
44,FGGY,0.864393842299937,0.030224277014315626,0.2886693621250287
45,NFIA,0.8171302504389475,0.16869991142332352,0.2934899254110598
46,USP1,0.2870079173616026,0.6600377968944383,0.5667630410125252
47,CACHD1,0.8391691977996809,0.217975994592835,0.5568060602254927
48,LEPR,0.42575978841312956,0.9408096390103315,0.24051087416784656
49,ITGB3BP,0.6274455931451622,0.4374311901135809,0.962665173409592
50,NEGR1,0.529436789245961,0.0521654496423507,0.5089285556673981
51,LRRC7,0.9049208668707286,0.7135746180463513,0.017270137613354053
52,ST6GALNAC3,0.3201932572463754,0.7463920531115343,0.5642854328937418
53,PIGK,0.5558792060351084,0.30755913904114585,0.501498643323246
54,DDAH1,0.7058175480144978,0.1823315410194567,0.2941921186264801
55,CLCA4,0.24120325682481358,0.9359056235991641,0.9287751358051973
56,LRRC8C,0.3442992878535095,0.11455247558010295,0.6230933026028103
57,PKN2-AS1,0.6578918047180524,0.41552490286945387,0.9909129650458686
58,FAM69A,0.41221702504079705,0.6923944018557172,0.25248151360951965
59,GCLM,0.03648182403652256,0.7712590632703765,0.4689023862589944
60,LOC729970,0.6171411599262521,0.5356347873981189,0.3702910140020478
61,NTNG1,0.5732185765124679,0.2639776791723628,0.7245066375928049
62,PHTF1,0.49470968606053767,0.8426192719250285,0.28243057821812645
63,KCNA2,0.8954218374578288,0.5865954931373308,0.5937256634780562
64,GNAI3,0.6528903417884782,0.7594294896752605,0.7257767304930346
65,RAP1A,0.12709118422118681,0.4601757819046476,0.000545684846470551
66,RHOC,0.7779445386399163,0.6919990414553086,0.6286473375233439
67,NOTCH2,0.8402626104957375,0.6069952673550689,0.6627040314226665
68,WDR3,0.49892397292745594,0.14212993339227353,0.14653248538169927
69,PDZK1,0.8130260666714665,0.716137283810417,0.621213662479076
70,NBPF10,0.4032005328870617,0.3344733328543342,0.9560363225748104
71,NBPF9,0.48774341375152863,0.21386862664922512,0.5726342789789687
72,NBPF20,0.5518654758801264,0.7485169601022378,0.4974254094672582
73,NBPF8,0.3038065082692537,0.9079578668973107,0.933650668400511
74,NBPF25P,0.7429588438614232,0.6773373679836164,0.7650444176330088
75,OTUD7B,0.7265799348666332,0.8342256655178378,0.043917215629009854
76,TPM3,0.7988633870624453,0.5088002505284026,0.09164611761047137
77,GBAP1,0.5581405753537364,0.23565241821960814,0.697298424106668
78,SMG5,0.06915177698973785,0.11747316886651338,0.9978974241156979
79,FCGR2A,0.5632568854196253,0.6709008756617721,0.45957246039450783
80,PBX1,0.8667156326745517,0.5070974753600492,0.25869628040257087
81,LOC440700,0.47142302216530496,0.43382946536651634,0.3080105197728542
82,DNM3,0.76802530865611,0.7173613437309173,0.6799742365729079
83,MROH9,0.1350114040498045,0.31092992551629783,0.8079040671598199
84,TNFSF18,0.04952465197108058,0.5400986637387087,0.2600488058272956
85,TNN,0.06961175699873434,0.9994375135453586,0.45848121443155365
