level_0,patient1,patient2,patient3,patient4
SGIP1,360,616,204,567
AZIN2,388,344,434,405
CLIC4,3679,2753,4151,5125
AGBL4,118,155,209,137
NECAP2,1522,1737,1562,2754
SLC45A1,335,376,288,343
TGFBR3,4046,7671,4220,3846
DBT,1623,1586,1748,2006
RFWD2,1922,2139,2283,3105
C1orf21,664,438,703,972
PRUNE,5026,4488,5132,4104
LIN9,129,199,193,217
PRKCZ,688,680,793,1026
PRDM16,315,889,401,1012
C1orf159,156,196,130,342
CAMTA1,1415,1361,1380,1882
ICMT,9054,8451,9510,8523
LOC391003,0,0,0,0
PRAMEF10,0,0,0,0
LOC645382,0,0,0,0
EPHB2,570,613,706,2194
PINK1,1742,1486,1718,1902
USP48,3093,3875,3381,4053
PINK1-AS,307,374,397,440
EPB41,3466,2666,3881,4136
KHDRBS1,7005,8074,10241,10425
EYA3,2155,1447,2336,2999
NUDC,3585,4866,4677,6447
PUM1,6474,6232,7500,7414
STMN1,5353,4796,4440,6006
THRAP3,6023,6507,8080,8654
SFPQ,7232,8760,9518,9962
CSMD2,73,51,14,136
MACF1,17234,14678,17260,19094
TRABD2B,36,33,18,75
PTPRF,12399,14335,16082,29832
GPBP1L1,5964,7064,7164,8950
RNF220,2950,3424,4266,4428
TCEANC2,262,285,339,449
SCP2,8567,8320,9270,9969
DAB1,318,99,69,212
RAB3B,14733,10556,17084,17453
USP24,5193,4807,6255,6041
FAF1,2032,2165,2708,3154
FGGY,548,922,647,953
NFIA,621,1184,811,1217
USP1,2900,3302,4197,3434
CACHD1,300,348,199,415
LEPR,2847,2883,5195,2050
ITGB3BP,260,388,414,1009
NEGR1,1587,2141,1963,1544
LRRC7,7,7,2,14
ST6GALNAC3,16,8,67,22
PIGK,3663,5241,4415,5536
DDAH1,3029,3767,3856,4350
CLCA4,2,2,2,2
LRRC8C,270,233,396,408
PKN2-AS1,0,6,8,2
FAM69A,396,625,549,501
GCLM,7343,2641,5529,4565
LOC729970,99,125,176,284
NTNG1,287,103,88,279
PHTF1,1564,1378,1250,1674
KCNA2,50,6,23,11
GNAI3,5023,5377,6626,7718
RAP1A,2904,2687,3504,3657
RHOC,2249,4501,1715,9278
NOTCH2,1667,3566,1424,5418
WDR3,1347,1715,1720,1908
PDZK1,853,343,918,973
NBPF10,47,33,34,39
NBPF9,0,0,0,0
NBPF20,0,0,0,0
NBPF8,8,13,6,28
NBPF25P,0,0,0,0
OTUD7B,1415,1656,1971,1997
TPM3,11189,10368,18566,14913
GBAP1,84,121,134,133
SMG5,6218,6850,6841,9563
FCGR2A,36,91,67,104
PBX1,4647,5644,5332,4388
LOC440700,3,4,8,1
DNM3,772,609,530,1339
MROH9,0,0,0,2
TNFSF18,0,0,0,2
TNN,0,0,2,7
BRINP2,18,8,27,9
SOAT1,6001,5925,6926,7552
ACBD6,1368,1319,1961,2229
SMG7,5172,6008,6922,6687
RGSL1,0,0,0,0
RASAL2,1602,1506,2066,1799
PTGS2,292,114,97,1093
ZBTB41,4158,3887,4940,4290
NEK7,3178,2887,3504,4067
SRGAP2C,0,0,0,0
SRGAP2,1459,1261,1077,1329
SRGAP2D,0,0,0,0
PPP1R12B,1346,1391,1463,1573
SRGAP2B,0,0,0,0
HHAT,549,749,643,827
ESRRG,1205,1272,1253,1098
BATF3,9,3,8,27
USH2A,189,189,306,124
EPRS,14517,15198,17427,16258
RNU5F-1,0,0,0,0
DNAH14,374,417,478,540
TSNAX-DISC1,0,0,0,2
NUP133,3111,3049,3783,4029
LINC00582,0,0,0,0
TRIM11,827,767,894,1207
MTR,1977,2259,2777,3032
LYST,3010,2600,3504,2865
RGS7,1532,818,1527,1379
LOC100130331,16,14,18,43
SMYD3,502,1114,665,1186
ZNF496,435,544,702,595
KIF26B,142,206,138,668
OR14C36,0,0,0,0
LINC01128,3429,2778,3363,2196
CDK11B,625,576,667,918
NADK,2351,2095,1884,2975
AURKAIP1,1681,2322,2083,3125
FAM132A,16,6,6,11
TNFRSF14,1198,877,2143,877
SKI,3085,2878,3869,2846
TTC34,0,2,0,0
DFFB,296,397,405,426
CCDC27,0,0,0,2
MEGF6,166,285,153,374
AJAP1,90,125,147,112
KCNAB2,1142,567,842,745
NPHP4,1099,708,1155,1549
PLEKHG5,211,180,236,227
ACOT7,668,577,714,756
TNFRSF9,24,67,44,40
PER3,3598,3712,6977,4290
RERE,5957,6271,6957,6809
H6PD,1903,2718,1859,4576
GPR157,8,21,4,36
CLSTN1,10273,9843,10817,14404
CTNNBIP1,1795,1439,2424,1877
KIF1B,6511,5330,6077,6533
UBE4B,2983,2779,3612,4389
EXOSC10,1800,2515,2897,3351
MTOR,2739,3221,2994,4018
CASZ1,891,1180,1246,1818
C1orf127,6240,7433,4873,3626
PEX14,766,919,958,1250
MFN2,4602,5375,5684,6763
AGTRAP,770,966,1046,1474
VPS13D,4051,4127,4305,4905
TNFRSF8,0,0,2,0
AADACL4,0,0,0,0
FHAD1,53,16,30,47
TMEM51-AS1,98,203,127,217
KAZN,205,444,494,632
DNAJC16,1459,1348,1771,1845
FBXO42,1272,1246,1580,1578
SPEN,4757,3925,5807,5596
MFAP2,75,73,64,147
NBPF1,1474,2151,1476,2478
PADI2,22,16,12,18
ESPNP,0,2,2,7
PADI1,3,4,19,15
ARHGEF10L,2266,2517,3869,4340
ACTL8,0,0,0,0
IGSF21,188,402,265,481
CAPZB,7432,7074,9320,11963
IFFO2,1002,1691,1025,2080
PAX7,0,2,15,0
UBR4,12501,11195,12708,13035
LINC01141,5,1,0,5
TMCO4,726,1195,1347,1568
EIF4G3,7914,7622,7314,7176
ALPL,16,6,29,30
HP1BP3,8411,9696,10820,10445
ECE1,9141,10725,11667,14459
CDC42,8525,10124,11639,14075
ZBTB40,2802,2220,2645,3041
HSPG2,1451,1790,1826,4378
LDLRAD2,11,17,24,46
LUZP1,1277,1104,1324,1875
TCEA3,360,1175,1198,1027
E2F2,2,28,22,25
IFNLR1,539,447,390,469
NIPAL3,2505,2896,2635,3578
NCMAP,1633,1464,1392,3358
TMEM57,2432,2326,2874,3003
RHCE,56,60,50,91
MAN1C1,3211,4299,3084,4411
LIN28A,4,0,4,0
RPS6KA1,1113,1590,1296,2522
SH3BGRL3,1842,2625,2227,7426
WASF2,5204,5089,6762,8476
TMEM222,1469,1592,1792,2231
AHDC1,2825,2113,3462,3094
PHACTR4,1900,2318,2758,3010
TAF12,611,584,687,952
SNHG3,769,765,419,530
RCC1,607,868,629,1470
PTPRU,1653,3966,5933,3123
SRSF4,2564,1774,2716,3533
MATN1,6,6,13,1
MATN1-AS1,30,18,19,58
PTP4A2,6951,9003,8224,11797
SYNC,21,12,11,23
ZBTB8A,531,540,694,785
RNF19B,2857,2225,3944,4349
S100PBP,1102,772,1074,1270
HDAC1,3884,4412,5292,5966
KPNA6,5442,5955,6617,6911
PHC2,7705,7884,10604,11237
ZSCAN20,238,231,283,304
CSMD2-AS1,0,0,0,0
AGO3,582,530,545,765
ZMYM4,3344,3307,4248,4494
AGO4,1412,980,1432,1542
KIAA0319L,3747,4927,4284,5839
TFAP2E,17,7,12,10
STK40,5282,3560,6165,6201
GRIK3,60,36,14,16
YRDC,1452,1515,1859,1683
SNIP1,1547,1366,1635,1730
INPP5B,1055,678,1357,1237
RRAGC,2576,2337,3835,3453
RLF,1340,1314,2201,2102
BMP8B,727,465,379,1133
BMP8A,418,255,540,685
SCMH1,2620,2557,3532,3186
KCNQ4,29,182,26,130
NFYC-AS1,113,143,126,100
FOXJ3,4790,5359,6732,5044
HIVEP3,755,879,1069,957
RIMKLA,1505,1219,2182,1745
WDR65,16,15,22,30
LOC100129924,8,4,8,1
